date,ticker,name,open,high,low,close,prev_close,change_pct,volume,value_iqd,trades
2026-09-09,BSUC,Sumer Commercial Bank,0.21,0.22,0.21,0.22,0.22,0.0,75069000.0,15765180.0,26.0
2026-09-09,BUND,United Bank,0.05,0.05,0.05,0.05,0.05,0.0,159.0,7.95,1.0
2026-09-09,SIGT,General Transportation,1.35,1.35,1.33,1.33,1.35,-1.48,1231398.0,1638171.68,4.0
2026-09-09,IELI,Electronic Industry,1.4,1.4,1.4,1.4,1.37,2.19,750000.0,1050000.0,1.0
2026-09-09,INCP,National Chemical &Plastic,1.83,1.83,1.65,1.65,1.83,-9.84,150546.0,256368.72,5.0
2026-09-09,HISH,Ishtar Hotels,9.44,9.5,9.3,9.3,9.42,-1.27,1460000.0,13692400.0,10.0
2026-09-09,HPAL,Palestine Hotel,20.8,20.8,20.55,20.55,21.0,-2.14,101923.0,2094998.4,2.0
2026-09-09,AISP,Iraqi for Seed Production,5.44,5.44,5.41,5.43,5.43,0.0,13468083.0,72960551.69,74.0
2026-09-09,BWAI,Al-Warka Bank,,0.14,0.14,0.14,,,16000000.0,2240000.0,3.0
2026-09-09,BHAM,Hammurabi Commercial Bank,,,,,,,,,
2026-09-09,BSAN,Al-Sanam Islamic Bank,,,,3.0,,,,,
2026-09-09,FIDI,Iraqi Deposit Insurance Corporation,,,,1.0,,,,,
2026-09-09,FRSE,Rabee Securities,,,,25.0,,,,,
2026-09-09,FKSX,Karmal Brokerage,,,,10.0,,,,,
2026-09-09,FISH,Ishtar Gate for e-Paymant,,,,1.0,,,,,
2026-09-09,FSBE,Sama Baghdad Exchange,,,,,,,,,
2026-09-09,SYAM,Blue Yam General Trading Company,,,,,,,,,
2026-09-09,NBAT,Batek Insurance Company,,,,,,,,,
2026-09-09,NZA,Zain lnsurance Company,,,,,,,,,
2026-09-09,NMAS,Almaseer lnsurance Company,,,,,,,,,
2026-09-09,NDAR,Dar Altheqa Insurance Company,,,,,,,,,
2026-09-09,NSHA,Shatt Al Arab Insurance,,,,1.0,,,,,
2026-09-09,NBAD,Al Badia Insurance,,,,,,,,,
2026-09-09,NKUI,Kurdistan Insurance,,,,0.5,,,,,
2026-09-09,NELF,Elaf Insurance,,,,,,,,,
2026-09-09,NDIL,Dilina Insurance Company,,,,,,,,,
2026-09-09,NGAT,Asia Gate Insurance Company,,,,,,,,,
2026-09-09,NSHQ,Shariq Insurance Company,,,,,,,,,
2026-09-09,NSIA,Asia Insurance Company,,,,,,,,,
2026-09-09,IKFP,Kirkuk producing constructional materials,,,,2.0,,,,,
2026-09-09,BAIB,Asia Al Iraq Islamic Bank for Investment,,,,0.96,,,0.0,,0.0
2026-09-09,BNAI,National Islamic Bank,,,,1.0,,,0.0,,0.0
2026-09-09,BELF,Elaf Islamic Bank,,,,0.32,,,0.0,,0.0
2026-09-09,BCIH,Cihan Bank for Islamic Investment&Finance,,,,1.75,,,0.0,,0.0
2026-09-09,SNUC,AL-Nukhba for Construction,,,,0.69,,,0.0,,0.0
2026-09-09,IMIB,Metallic Industries and Bicycles,,,,1.94,,,0.0,,0.0
